,,,,,,,,,,,,,,,
user_name,email,phone_number,year_of_birth,intervention,is_hr,is_employee,eid,level,date_of_offer,date_of_joining,status,marital_status,gender,branch,salary
A,A@mail.com,5295935614,1937,School Coordination Dept,FALSE,TRUE,8,Project Head,NA,"1 Jan, 2007",Active,unmarried,female,Bangalore,114280
B,B@mail.com,2417816047,1894,Finance/Trust,FALSE,TRUE,41,Senior Manager,NA,"1 Nov, 2007",Retired,married,female,Mumbai,385055
C,C@mail.com,8594914453,1876,Health,FALSE,TRUE,79,Senior Coordinator,NA,"1 Aug, 2008",Active,unmarried,male,Mumbai,767876
D,D@mail.com,4970979749,1753,Unnati,FALSE,TRUE,82,Senior Coordinator,NA,"1 Oct, 2008",Active,married,female,Bangalore,843129
E',E'@mail.com,3136079558,1887,Volunteering,FALSE,TRUE,86,Manager,NA,"5 Dec, 2008",Active,unmarried,female,Mumbai,288686
F,F@mail.com,3599352363,1928,Parvarish,FALSE,TRUE,89,Senior Manager,NA,"7 Apr, 2009",Active,unmarried,male,Pune,833859
G,G@mail.com,1505081450,1941,Health,FALSE,TRUE,91,Senior Coordinator,NA,"15 Apr, 2009",Active,unmarried,female,Pune,632249
H,H@mail.com,2927185821,1719,Parvarish,FALSE,TRUE,94,Senior Assistant Manager,NA,"1 Jun, 2009",Active,unmarried,male,Mumbai,99225
I,I@mail.com,1461359789,1798,Umang,FALSE,TRUE,107,Manager,NA,"27 Jul, 2009",Active,unmarried,female,Delhi,866689
J,J@mail.com,6026670829,1921,Volunteering,FALSE,TRUE,131,Manager,NA,"1 May, 2010",Active,unmarried,male,Mumbai,996109
K,K@mail.com,3487186642,1996,Author: Transferred from Udaan to SCD wef 1Apr20 School Coordination Dept,FALSE,TRUE,166,Senior Coordinator,NA,"1 Apr, 2011",Active,unmarried,male,Mumbai,679868
L,L@mail.com,8278519732,1894,Umang,FALSE,TRUE,189,Assistant Manager,NA,"1 Jul, 2011",Active,unmarried,female,Bangalore,75694
M,M@mail.com,9188048429,1969,School Coordination Dept,FALSE,TRUE,195,Senior Coordinator,NA,"11 Jul, 2011",Resigned,unmarried,female,Mumbai,756675
N,N@mail.com,3430666601,1745,Excel,FALSE,TRUE,197,Coordinator,NA,"14 Jul, 2011",Resigned,unmarried,male,Pune,798545
O,O@mail.com,4123250856,1862,HR & Admin,FALSE,TRUE,229,Senior Officer,NA,"13 Feb, 2012",Active,unmarried,female,Pune,137167
P,P@mail.com,8060500679,1919,Parvarish,FALSE,TRUE,234,Trainee Coordinator,NA,"1 Mar, 2012",Active,unmarried,male,Delhi,459952
Q,Q@mail.com,5298352001,1907,Unnati,FALSE,TRUE,239,Senior Officer,NA,"7 May, 2012",Active,unmarried,male,Bangalore,670603
R,R@mail.com,4481114401,1842,To be effective from 01st April 2021 -Aishwarya Abhijeet Chalke Centrailsed Content Team,FALSE,TRUE,240,Senior Assistant Manager,NA,"7 May, 2012",Active,married,female,Bangalore,151454
S,S@mail.com,9828220745,1875,Whole School Turn Around Project,FALSE,TRUE,244,Senior Assistant Manager,"12 May, 2012","15 May, 2012",Active,unmarried,female,Bangalore,508569
T,T@mail.com,4970693259,1987,Parvarish,FALSE,TRUE,245,Senior Assistant Manager,NA,"16 May, 2012",Unknown,married,male,Mumbai,227118
U,U@mail.com,5382578871,1888,Parvarish,FALSE,TRUE,246,Senior Assistant Manager,NA,"16 May, 2012",Unknown,married,female,Delhi,449004
V,V@mail.com,7336553045,1846,Umang,FALSE,TRUE,249,Senior Officer,NA,"28 May, 2012",Active,unmarried,male,Mumbai,992344
W,W@mail.com,3046910057,1966,Umang,FALSE,TRUE,253,Assistant Manager,NA,"1 Jun, 2012",Active,married,female,Bangalore,464426
X,X@mail.com,4008733949,1703,Excel,FALSE,TRUE,274,Senior Officer,NA,"13 Aug, 2012",Active,unmarried,female,Delhi,333144
Y,Y@mail.com,3417441677,1861,School Coordination Dept,FALSE,TRUE,277,Senior Coordinator,"29 Aug, 2012","3 Sep, 2012",Active,unmarried,female,Mumbai,158348
Z,Z@mail.com,6103150687,1925,Health,FALSE,TRUE,285,Senior Officer,NA,"1 Oct, 2012",Active,unmarried,male,Mumbai,317115
AA,AA@mail.com,3064930554,1801,Umang,FALSE,TRUE,292,Assistant Manager,NA,"19 Nov, 2012",Active,married,female,Pune,730854
AB,AB@mail.com,5951067368,1864,Finance/Trust,FALSE,TRUE,296,Assistant Manager,NA,"1 Jan, 2013",Retired,unmarried,male,Bangalore,700510
